method,duration_clock,duration_mono,duration_sys,n_mpi_process,x_grid_cuda,y_grid_cuda,x_block_cuda,y_block_cuda,interaction
cuda,1.681484,4.208172 ,4.208170,,32.0,32.0,16.0,16.0,187
cuda,1.921381,2.385518 ,2.385516,,32.0,32.0,16.0,16.0,188
cuda,1.952725,2.729544 ,2.729542,,32.0,32.0,16.0,16.0,189
cuda,1.918200,2.497258 ,2.497257,,32.0,32.0,16.0,16.0,190
cuda,1.946613,2.928891 ,2.928889,,32.0,32.0,16.0,16.0,191
cuda,1.928395,2.323786 ,2.323784,,32.0,32.0,16.0,16.0,192
cuda,1.641240,2.184381 ,2.184379,,32.0,32.0,16.0,16.0,193
cuda,1.970329,2.870798 ,2.870797,,32.0,32.0,16.0,16.0,194
cuda,1.925458,2.846455 ,2.846454,,32.0,32.0,16.0,16.0,195
cuda,1.929834,3.181545 ,3.181543,,32.0,32.0,16.0,16.0,196
cuda,1.585440,2.760652 ,2.760649,,32.0,32.0,16.0,16.0,197
cuda,1.949230,3.916083 ,3.916080,,32.0,32.0,16.0,16.0,198
cuda,1.931357,2.428759 ,2.428757,,32.0,32.0,16.0,16.0,199
cuda,1.921667,2.548214 ,2.548214,,32.0,32.0,16.0,16.0,200
