method,duration_clock,duration_mono,duration_sys,n_mpi,x_grid_cuda,y_grid_cuda,x_block_cuda,y_block_cuda,n_threads,interaction
omp,37.665710,2.882132,2.882132,,,,,,128,12
omp,35.892047,3.563743,3.563741,,,,,,128,13
omp,38.209436,3.864048,3.864046,,,,,,128,14
omp,36.638033,3.399419,3.399419,,,,,,128,15
ompi,30.536677,31.337366 ,31.337363,1,,,,,,1
ompi,29.981214,30.740520 ,30.740518,1,,,,,,2
ompi,30.779974,31.498182 ,31.498179,1,,,,,,3
ompi,30.230507,30.920496 ,30.920493,1,,,,,,4
ompi,30.007043,30.745001 ,30.744998,1,,,,,,5
ompi,29.922300,30.653999 ,30.653997,1,,,,,,6
ompi,30.272862,31.078420 ,31.078417,1,,,,,,7
ompi,30.560879,31.222883 ,31.222881,1,,,,,,8
ompi,30.309791,30.913371 ,30.913369,1,,,,,,9
ompi,30.225765,31.101851 ,31.101850,1,,,,,,10
ompi,29.974381,30.727406 ,30.727404,1,,,,,,11
ompi,30.256589,30.864421 ,30.864419,1,,,,,,12
ompi,30.785125,31.590553 ,31.590550,1,,,,,,13
ompi,30.944884,31.581870 ,31.581868,1,,,,,,14
ompi,30.468581,31.122948 ,31.122945,1,,,,,,15
ompi,16.770638,17.577553 ,17.577551,2,,,,,,1
ompi,16.827066,17.583684 ,17.583681,2,,,,,,2
ompi,16.555785,17.194421 ,17.194418,2,,,,,,3
ompi,16.815641,17.595306 ,17.595303,2,,,,,,4
ompi,16.800119,18.020021 ,18.020018,2,,,,,,5
ompi,16.907216,17.551047 ,17.551045,2,,,,,,6
ompi,16.827301,17.628508 ,17.628506,2,,,,,,7
ompi,16.809849,17.518274 ,17.518272,2,,,,,,8
ompi,16.846580,17.461836 ,17.461834,2,,,,,,9
ompi,16.750394,17.310801 ,17.310799,2,,,,,,10
ompi,16.419205,17.039954 ,17.039952,2,,,,,,11
ompi,16.502178,17.057646 ,17.057644,2,,,,,,12
ompi,16.468953,17.160623 ,17.160621,2,,,,,,13
ompi,16.556784,17.150208 ,17.150206,2,,,,,,14
ompi,16.759458,17.342295 ,17.342293,2,,,,,,15
ompi,9.617197,10.255566 ,10.255563,4,,,,,,1
ompi,9.860677,10.502860 ,10.502860,4,,,,,,2
ompi,10.085352,10.709768 ,10.709765,4,,,,,,3
ompi,9.865081,10.469305 ,10.469304,4,,,,,,4
ompi,9.834434,11.077580 ,11.077578,4,,,,,,5
ompi,9.888684,10.420069 ,10.420067,4,,,,,,6
ompi,9.572567,10.183281 ,10.183278,4,,,,,,7
ompi,9.917185,10.461477 ,10.461476,4,,,,,,8
ompi,9.600074,10.205523 ,10.205520,4,,,,,,9
ompi,9.912081,10.496735 ,10.496733,4,,,,,,10
ompi,9.633456,10.269425 ,10.269439,4,,,,,,11
ompi,9.904269,10.542495 ,10.542494,4,,,,,,12
ompi,9.966667,10.593480 ,10.593478,4,,,,,,13
ompi,9.853997,10.404113 ,10.404112,4,,,,,,14
ompi,9.917139,10.556117 ,10.556114,4,,,,,,15
ompi,6.489690,7.056300 ,7.056299,8,,,,,,1
ompi,6.752932,7.510897 ,7.510895,8,,,,,,2
ompi,6.434187,7.080883 ,7.080882,8,,,,,,3
ompi,6.418276,6.965165 ,6.965164,8,,,,,,4
ompi,6.447503,7.103990 ,7.103989,8,,,,,,5
ompi,6.483192,7.032592 ,7.032590,8,,,,,,6
ompi,6.430735,6.986059 ,6.986058,8,,,,,,7
ompi,6.745611,7.460432 ,7.460432,8,,,,,,8
ompi,6.758578,7.530438 ,7.530435,8,,,,,,9
ompi,6.747703,7.150719 ,7.150719,8,,,,,,10
ompi,6.731699,7.419768 ,7.419767,8,,,,,,11
ompi,6.745934,7.996747 ,7.996746,8,,,,,,12
ompi,6.449830,7.011257 ,7.011255,8,,,,,,13
ompi,6.415141,6.746963 ,6.746961,8,,,,,,14
ompi,6.752014,7.307743 ,7.307743,8,,,,,,15
ompi,5.052248,5.615643 ,5.615642,16,,,,,,1
ompi,4.996631,5.599179 ,5.599178,16,,,,,,2
ompi,5.012204,5.692217 ,5.692215,16,,,,,,3
ompi,5.256165,5.943065 ,5.943065,16,,,,,,4
ompi,4.991605,5.656304 ,5.656303,16,,,,,,5
ompi,5.097620,5.742109 ,5.742108,16,,,,,,6
ompi,5.242457,5.939712 ,5.939711,16,,,,,,7
ompi,5.221366,5.783639 ,5.783637,16,,,,,,8
ompi,5.553763,6.181077 ,6.181076,16,,,,,,9
ompi,5.068452,5.604701 ,5.604701,16,,,,,,10
ompi,4.996478,5.573474 ,5.573473,16,,,,,,11
ompi,5.013979,5.644870 ,5.644868,16,,,,,,12
ompi,5.024532,5.698027 ,5.698026,16,,,,,,13
ompi,5.247803,5.832086 ,5.832085,16,,,,,,14
ompi,4.982010,5.626329 ,5.626328,16,,,,,,15
ompi,4.846548,6.411352 ,6.411350,32,,,,,,1
ompi,4.939343,5.762381 ,5.762379,32,,,,,,2
ompi,4.917532,5.999421 ,5.999418,32,,,,,,3
ompi,4.952455,5.723062 ,5.723060,32,,,,,,4
ompi,4.799840,6.395882 ,6.395879,32,,,,,,5
ompi,4.859153,5.769974 ,5.769971,32,,,,,,6
ompi,5.338969,6.372763 ,6.372760,32,,,,,,7
ompi,4.688312,5.438224 ,5.438221,32,,,,,,8
ompi,5.118137,5.796689 ,5.796687,32,,,,,,9
ompi,4.735295,5.465755 ,5.465752,32,,,,,,10
ompi,4.874629,5.587449 ,5.587447,32,,,,,,11
ompi,4.761981,5.513044 ,5.513041,32,,,,,,12
ompi,4.865874,5.531378 ,5.531376,32,,,,,,13
ompi,4.948414,5.749577 ,5.749575,32,,,,,,14
ompi,4.587907,5.336113 ,5.336111,32,,,,,,15
ompi,5.660110,9.649506 ,9.649504,64,,,,,,1
ompi,5.146942,10.074867 ,10.074864,64,,,,,,2
ompi,5.409950,7.328062 ,7.328060,64,,,,,,3
ompi,4.617573,8.957749 ,8.957747,64,,,,,,4
ompi,4.767239,8.096879 ,8.096876,64,,,,,,5
ompi,5.150920,9.854482 ,9.854479,64,,,,,,6
ompi,4.748559,8.727891 ,8.727889,64,,,,,,7
ompi,4.690383,9.256752 ,9.256751,64,,,,,,8
ompi,4.782421,9.428609 ,9.428607,64,,,,,,9
ompi,5.349426,9.645329 ,9.645326,64,,,,,,10
ompi,5.289949,8.655843 ,8.655840,64,,,,,,11
ompi,4.667359,8.644456 ,8.644454,64,,,,,,12
ompi,4.605967,7.696180 ,7.696177,64,,,,,,13
ompi,4.763221,8.367127 ,8.367125,64,,,,,,14
ompi,4.738615,8.623976 ,8.623975,64,,,,,,15
ompi,5.193364,14.018269 ,14.018266,128,,,,,,1
ompi,4.903104,13.632722 ,13.632720,128,,,,,,2
ompi,5.324138,15.559736 ,15.559733,128,,,,,,3
ompi,5.261718,14.113142 ,14.113140,128,,,,,,4
ompi,4.573481,14.945725 ,14.945723,128,,,,,,5
