size	region	delta_x	delta_y	duration_clock	duration_mono	duration_sys	threads	method	i_o
32	Full Picture	4.0	4.0	0.00062	0.015161	0.01516	2	pth	0
32	Full Picture	4.0	4.0	0.000502	0.006913	0.006912	2	pth	0
32	Full Picture	4.0	4.0	0.000711	0.014937	0.014936	2	pth	0
32	Full Picture	4.0	4.0	0.000657	0.015155	0.015154	2	pth	0
32	Full Picture	4.0	4.0	0.000592	0.014737	0.014735	2	pth	0
32	Full Picture	4.0	4.0	0.00057	0.011138	0.011137	2	pth	0
32	Full Picture	4.0	4.0	0.000747	0.014927	0.014925	2	pth	0
32	Full Picture	4.0	4.0	0.000614	0.014588	0.014587	2	pth	0
32	Full Picture	4.0	4.0	0.000867	0.015127	0.015126	4	pth	0
32	Full Picture	4.0	4.0	0.000768	0.015083	0.015081	4	pth	0
32	Full Picture	4.0	4.0	0.000981	0.01488	0.014878	4	pth	0
32	Full Picture	4.0	4.0	0.000882	0.015017	0.015017	4	pth	0
32	Full Picture	4.0	4.0	0.000879	0.018915	0.018914	4	pth	0
32	Full Picture	4.0	4.0	0.000739	0.015091	0.01509	4	pth	0
32	Full Picture	4.0	4.0	0.000944	0.01492	0.014919	4	pth	0
32	Full Picture	4.0	4.0	0.00085	0.019157	0.019156	4	pth	0
32	Full Picture	4.0	4.0	0.000758	0.015219	0.015218	4	pth	0
32	Full Picture	4.0	4.0	0.000841	0.01905	0.019049	4	pth	0
32	Full Picture	4.0	4.0	0.00111	0.01917	0.019169	8	pth	0
32	Full Picture	4.0	4.0	0.001165	0.019251	0.01925	8	pth	0
32	Full Picture	4.0	4.0	0.001282	0.022966	0.022965	8	pth	0
32	Full Picture	4.0	4.0	0.001228	0.027157	0.027156	8	pth	0
32	Full Picture	4.0	4.0	0.00113	0.015065	0.015063	8	pth	0
32	Full Picture	4.0	4.0	0.001337	0.030778	0.030775	8	pth	0
32	Full Picture	4.0	4.0	0.001163	0.015082	0.01508	8	pth	0
32	Full Picture	4.0	4.0	0.00123	0.019256	0.019255	8	pth	0
32	Full Picture	4.0	4.0	0.001148	0.02688	0.026879	8	pth	0
32	Full Picture	4.0	4.0	0.001272	0.027128	0.027127	8	pth	0
32	Full Picture	4.0	4.0	0.001993	0.027054	0.027053	16	pth	0
32	Full Picture	4.0	4.0	0.001848	0.023069	0.023067	16	pth	0
32	Full Picture	4.0	4.0	0.001855	0.02311	0.023108	16	pth	0
32	Full Picture	4.0	4.0	0.002041	0.030937	0.030936	16	pth	0
32	Full Picture	4.0	4.0	0.002841	0.02291	0.022908	16	pth	0
32	Full Picture	4.0	4.0	0.002085	0.034957	0.034956	16	pth	0
32	Full Picture	4.0	4.0	0.002645	0.030672	0.030671	16	pth	0
32	Full Picture	4.0	4.0	0.001708	0.01925	0.01925	16	pth	0
32	Full Picture	4.0	4.0	0.001794	0.022967	0.022966	16	pth	0
32	Full Picture	4.0	4.0	0.002054	0.027157	0.027155	16	pth	0
32	Full Picture	4.0	4.0	0.003284	0.023222	0.023221	32	pth	0
32	Full Picture	4.0	4.0	0.003339	0.031356	0.031355	32	pth	0
32	Full Picture	4.0	4.0	0.002942	0.023383	0.023382	32	pth	0
32	Full Picture	4.0	4.0	0.003769	0.042911	0.042911	32	pth	0
32	Full Picture	4.0	4.0	0.003409	0.035411	0.035411	32	pth	0
32	Full Picture	4.0	4.0	0.003442	0.03485	0.034848	32	pth	0
32	Full Picture	4.0	4.0	0.00366	0.031159	0.031158	32	pth	0
32	Full Picture	4.0	4.0	0.003733	0.035191	0.03519	32	pth	0
32	Full Picture	4.0	4.0	0.004439	0.039152	0.039151	32	pth	0
32	Full Picture	4.0	4.0	0.003033	0.035209	0.035209	32	pth	0
64	Full Picture	4.0	4.0	0.001598	0.01872	0.018719	1	pth	0
64	Full Picture	4.0	4.0	0.00122	0.007207	0.007206	1	pth	0
64	Full Picture	4.0	4.0	0.001637	0.018818	0.018817	1	pth	0
64	Full Picture	4.0	4.0	0.001327	0.006927	0.006926	1	pth	0
64	Full Picture	4.0	4.0	0.001294	0.010852	0.010851	1	pth	0
64	Full Picture	4.0	4.0	0.001192	0.002922	0.00292	1	pth	0
64	Full Picture	4.0	4.0	0.001293	0.010916	0.010914	1	pth	0
64	Full Picture	4.0	4.0	0.001284	0.010925	0.010924	1	pth	0
64	Full Picture	4.0	4.0	0.001279	0.012696	0.012695	1	pth	0
64	Full Picture	4.0	4.0	0.001341	0.015741	0.015739	1	pth	0
64	Full Picture	4.0	4.0	0.001286	0.007865	0.007864	2	pth	0
64	Full Picture	4.0	4.0	0.001394	0.010949	0.010949	2	pth	0
64	Full Picture	4.0	4.0	0.001467	0.014768	0.014767	2	pth	0
64	Full Picture	4.0	4.0	0.001388	0.010694	0.010692	2	pth	0
64	Full Picture	4.0	4.0	0.001335	0.010736	0.010735	2	pth	0
64	Full Picture	4.0	4.0	0.001413	0.011016	0.011015	2	pth	0
64	Full Picture	4.0	4.0	0.001518	0.019566	0.019565	2	pth	0
64	Full Picture	4.0	4.0	0.001354	0.004084	0.004083	2	pth	0
64	Full Picture	4.0	4.0	0.001415	0.012675	0.012674	2	pth	0
64	Full Picture	4.0	4.0	0.00162	0.0147	0.014699	2	pth	0
64	Full Picture	4.0	4.0	0.001967	0.022753	0.022752	4	pth	0
64	Full Picture	4.0	4.0	0.001929	0.011291	0.011289	4	pth	0
64	Full Picture	4.0	4.0	0.001772	0.011461	0.011459	4	pth	0
64	Full Picture	4.0	4.0	0.001581	0.007662	0.007661	4	pth	0
64	Full Picture	4.0	4.0	0.001718	0.014418	0.014417	4	pth	0
64	Full Picture	4.0	4.0	0.001832	0.018767	0.018766	4	pth	0
64	Full Picture	4.0	4.0	0.001795	0.01844	0.018439	4	pth	0
64	Full Picture	4.0	4.0	0.001711	0.014643	0.014642	4	pth	0
64	Full Picture	4.0	4.0	0.00155	0.010897	0.010896	4	pth	0
64	Full Picture	4.0	4.0	0.001756	0.01492	0.014919	4	pth	0
64	Full Picture	4.0	4.0	0.001957	0.018984	0.018983	8	pth	0
64	Full Picture	4.0	4.0	0.002108	0.01946	0.019459	8	pth	0
64	Full Picture	4.0	4.0	0.002074	0.014929	0.014928	8	pth	0
64	Full Picture	4.0	4.0	0.002028	0.036934	0.036933	8	pth	0
64	Full Picture	4.0	4.0	0.001955	0.01121	0.011209	8	pth	0
64	Full Picture	4.0	4.0	0.001984	0.015483	0.015481	8	pth	0
64	Full Picture	4.0	4.0	0.002239	0.015476	0.015475	8	pth	0
64	Full Picture	4.0	4.0	0.00212	0.015066	0.015065	8	pth	0
64	Full Picture	4.0	4.0	0.002142	0.018045	0.018043	8	pth	0
64	Full Picture	4.0	4.0	0.001969	0.018995	0.018994	8	pth	0
64	Full Picture	4.0	4.0	0.002965	0.022829	0.022828	16	pth	0
64	Full Picture	4.0	4.0	0.002946	0.014907	0.014906	16	pth	0
64	Full Picture	4.0	4.0	0.00295	0.038801	0.0388	16	pth	0
64	Full Picture	4.0	4.0	0.002946	0.034943	0.034942	16	pth	0
64	Full Picture	4.0	4.0	0.003043	0.022774	0.022774	16	pth	0
64	Full Picture	4.0	4.0	0.002763	0.026812	0.026811	16	pth	0
64	Full Picture	4.0	4.0	0.002717	0.022998	0.022996	16	pth	0
64	Full Picture	4.0	4.0	0.002553	0.014945	0.014943	16	pth	0
64	Full Picture	4.0	4.0	0.003367	0.018449	0.018447	16	pth	0
64	Full Picture	4.0	4.0	0.003063	0.014638	0.014637	16	pth	0
64	Full Picture	4.0	4.0	0.004121	0.014806	0.014805	32	pth	0
64	Full Picture	4.0	4.0	0.004788	0.031054	0.031053	32	pth	0
64	Full Picture	4.0	4.0	0.004132	0.031101	0.0311	32	pth	0
64	Full Picture	4.0	4.0	0.003955	0.019178	0.019176	32	pth	0
64	Full Picture	4.0	4.0	0.004544	0.018917	0.018916	32	pth	0
64	Full Picture	4.0	4.0	0.004276	0.02282	0.022818	32	pth	0
64	Full Picture	4.0	4.0	0.004175	0.023123	0.023121	32	pth	0
64	Full Picture	4.0	4.0	0.004381	0.038799	0.038797	32	pth	0
64	Full Picture	4.0	4.0	0.003951	0.027062	0.02706	32	pth	0
64	Full Picture	4.0	4.0	0.004112	0.02284	0.022838	32	pth	0
128	Full Picture	4.0	4.0	0.004251	0.025417	0.025415	1	pth	0
128	Full Picture	4.0	4.0	0.004484	0.025623	0.025622	1	pth	0
128	Full Picture	4.0	4.0	0.004555	0.021931	0.02193	1	pth	0
128	Full Picture	4.0	4.0	0.004781	0.025423	0.025421	1	pth	0
128	Full Picture	4.0	4.0	0.004891	0.015903	0.015902	1	pth	0
128	Full Picture	4.0	4.0	0.005746	0.01344	0.013438	1	pth	0
128	Full Picture	4.0	4.0	0.004363	0.009975	0.009973	1	pth	0
128	Full Picture	4.0	4.0	0.004341	0.009763	0.009762	1	pth	0
128	Full Picture	4.0	4.0	0.0047	0.026069	0.026068	1	pth	0
128	Full Picture	4.0	4.0	0.0045	0.013297	0.013296	1	pth	0
128	Full Picture	4.0	4.0	0.004843	0.019824	0.019823	2	pth	0
128	Full Picture	4.0	4.0	0.004786	0.01034	0.010339	2	pth	0
128	Full Picture	4.0	4.0	0.004816	0.006869	0.006868	2	pth	0
128	Full Picture	4.0	4.0	0.004921	0.020233	0.020233	2	pth	0
128	Full Picture	4.0	4.0	0.004548	0.017759	0.017757	2	pth	0
128	Full Picture	4.0	4.0	0.004466	0.021738	0.021736	2	pth	0
128	Full Picture	4.0	4.0	0.004943	0.007824	0.007822	2	pth	0
128	Full Picture	4.0	4.0	0.005111	0.007899	0.007898	2	pth	0
128	Full Picture	4.0	4.0	0.00467	0.010032	0.010031	2	pth	0
128	Full Picture	4.0	4.0	0.005111	0.007272	0.007271	2	pth	0
128	Full Picture	4.0	4.0	0.005247	0.015876	0.015875	4	pth	0
128	Full Picture	4.0	4.0	0.005547	0.019197	0.019195	4	pth	0
