i_o	threads	method	region	size	delta_x	delta_y	mean_duration_clock	mean_duration_mono	mean_duration_sys	ci_duration_clock	ci_duration_mono	ci_duration_sys	repetitions
0	8	omp	Full Picture	16	4.0	4.0	0.031221500000000006	0.022168300000000002	0.0221668	0.010110974307953161	0.012868702936791866	0.01286876900135518	10
1	8	omp	Full Picture	16	4.0	4.0	0.031221500000000006	0.022168300000000002	0.0221668	0.010110974307953161	0.012868702936791866	0.01286876900135518	10
0	16	omp	Full Picture	16	4.0	4.0	0.07375040000000001	0.028297300000000004	0.0282962	0.02907452485971838	0.0064240180025775155	0.0064240466901804	10
1	16	omp	Full Picture	16	4.0	4.0	0.07375040000000001	0.028297300000000004	0.0282962	0.02907452485971838	0.0064240180025775155	0.0064240466901804	10
0	32	omp	Full Picture	16	4.0	4.0	0.16370020000000002	0.0357636	0.0357624	0.04772001267453235	0.008319983435265561	0.008319622045415283	10
1	32	omp	Full Picture	16	4.0	4.0	0.16370020000000002	0.0357636	0.0357624	0.04772001267453235	0.008319983435265561	0.008319622045415283	10
0	1	omp	Full Picture	32	4.0	4.0	0.0003485	0.0003369	0.00033549999999999997	3.2839343612333176e-5	3.181203378178346e-5	3.2103207177961385e-5	10
1	1	omp	Full Picture	32	4.0	4.0	0.0003485	0.0003369	0.00033549999999999997	3.2839343612333176e-5	3.181203378178346e-5	3.2103207177961385e-5	10
0	2	omp	Full Picture	32	4.0	4.0	0.0028807	0.008494999999999999	0.008493899999999999	0.001621660999241895	0.010420377844273316	0.010420956851173824	10
1	2	omp	Full Picture	32	4.0	4.0	0.0028807	0.008494999999999999	0.008493899999999999	0.001621660999241895	0.010420377844273316	0.010420956851173824	10
0	4	omp	Full Picture	32	4.0	4.0	0.010384599999999999	0.015063199999999999	0.0150618	0.006804637522322879	0.0083296903296165	0.008330097758589764	10
1	4	omp	Full Picture	32	4.0	4.0	0.010384599999999999	0.015063199999999999	0.0150618	0.006804637522322879	0.0083296903296165	0.008330097758589764	10
0	8	omp	Full Picture	32	4.0	4.0	0.024140399999999996	0.022674400000000004	0.0226731	0.01779105830766506	0.008144951216184578	0.008144815968235663	10
1	8	omp	Full Picture	32	4.0	4.0	0.024140399999999996	0.022674400000000004	0.0226731	0.01779105830766506	0.008144951216184578	0.008144815968235663	10
0	16	omp	Full Picture	32	4.0	4.0	0.060765099999999996	0.024498899999999997	0.024497300000000003	0.014776661356641805	0.010603554087433974	0.010603757436867787	10
1	16	omp	Full Picture	32	4.0	4.0	0.060765099999999996	0.024498899999999997	0.024497300000000003	0.014776661356641805	0.010603554087433974	0.010603757436867787	10
0	32	omp	Full Picture	32	4.0	4.0	0.1468236	0.0317002	0.0316986	0.014455646990748559	0.011045000893207346	0.011044506616030332	10
1	32	omp	Full Picture	32	4.0	4.0	0.1468236	0.0317002	0.0316986	0.014455646990748559	0.011045000893207346	0.011044506616030332	10
0	1	omp	Full Picture	64	4.0	4.0	0.0012324000000000002	0.0012210000000000003	0.0012194999999999999	0.0002350642126549916	0.00023368154284552877	0.00023366921292003072	10
1	1	omp	Full Picture	64	4.0	4.0	0.0012324000000000002	0.0012210000000000003	0.0012194999999999999	0.0002350642126549916	0.00023368154284552877	0.00023366921292003072	10
0	2	omp	Full Picture	64	4.0	4.0	0.0039903	0.0079673	0.007966	0.0030116606045200007	0.01103035942027558	0.011031213510712835	10
1	2	omp	Full Picture	64	4.0	4.0	0.0039903	0.0079673	0.007966	0.0030116606045200007	0.01103035942027558	0.011031213510712835	10
0	4	omp	Full Picture	64	4.0	4.0	0.009899799999999999	0.0166791	0.016677900000000002	0.006891420377943062	0.008615718213373097	0.008615768845685991	10
1	4	omp	Full Picture	64	4.0	4.0	0.009899799999999999	0.0166791	0.016677900000000002	0.006891420377943062	0.008615718213373097	0.008615768845685991	10
0	8	omp	Full Picture	64	4.0	4.0	0.03420340000000001	0.0237085	0.023707100000000002	0.00336139615237875	0.007177617960676246	0.0071773009967802115	10
1	8	omp	Full Picture	64	4.0	4.0	0.03420340000000001	0.0237085	0.023707100000000002	0.00336139615237875	0.007177617960676246	0.0071773009967802115	10
0	16	omp	Full Picture	64	4.0	4.0	0.0782709	0.029019899999999998	0.029018600000000006	0.03168584602155185	0.008777331128349513	0.00877721756365396	10
1	16	omp	Full Picture	64	4.0	4.0	0.0782709	0.029019899999999998	0.029018600000000006	0.03168584602155185	0.008777331128349513	0.00877721756365396	10
0	32	omp	Full Picture	64	4.0	4.0	0.1703913	0.039045899999999995	0.0390446	0.047405989076918405	0.004963163745388397	0.00496332076195229	10
1	32	omp	Full Picture	64	4.0	4.0	0.1703913	0.039045899999999995	0.0390446	0.047405989076918405	0.004963163745388397	0.00496332076195229	10
0	1	omp	Full Picture	128	4.0	4.0	0.0043441	0.0071415	0.0071398	0.0006043799124391873	0.005113123847295092	0.005113414062041567	10
1	1	omp	Full Picture	128	4.0	4.0	0.0043441	0.0071415	0.0071398	0.0006043799124391873	0.005113123847295092	0.005113414062041567	10
0	2	omp	Full Picture	128	4.0	4.0	0.008608300000000003	0.0157501	0.0157486	0.0012178014337759114	0.007160679047240019	0.007160695663366792	10
1	2	omp	Full Picture	128	4.0	4.0	0.008608300000000003	0.0157501	0.0157486	0.0012178014337759114	0.007160679047240019	0.007160695663366792	10
0	4	omp	Full Picture	128	4.0	4.0	0.0139907	0.019900400000000002	0.0198988	0.0026643436465741423	0.008547875384943067	0.008547766704117384	10
1	4	omp	Full Picture	128	4.0	4.0	0.0139907	0.019900400000000002	0.0198988	0.0026643436465741423	0.008547875384943067	0.008547766704117384	10
0	8	omp	Full Picture	128	4.0	4.0	0.033244499999999996	0.0227173	0.0227159	0.025583268565690872	0.014526991942462602	0.014527513901809596	10
1	8	omp	Full Picture	128	4.0	4.0	0.033244499999999996	0.0227173	0.0227159	0.025583268565690872	0.014526991942462602	0.014527513901809596	10
0	16	omp	Full Picture	128	4.0	4.0	0.08980099999999999	0.029680399999999996	0.029678700000000002	0.01484065737319686	0.010295749643441541	0.010295589399583582	10
1	16	omp	Full Picture	128	4.0	4.0	0.08980099999999999	0.029680399999999996	0.029678700000000002	0.01484065737319686	0.010295749643441541	0.010295589399583582	10
0	32	omp	Full Picture	128	4.0	4.0	0.1646942	0.033723100000000006	0.0337216	0.049764628497169165	0.009223523914483495	0.009223775743292983	10
1	32	omp	Full Picture	128	4.0	4.0	0.1646942	0.033723100000000006	0.0337216	0.049764628497169165	0.009223523914483495	0.009223775743292983	10
0	1	omp	Full Picture	256	4.0	4.0	0.016993599999999998	0.036884400000000005	0.0368812	0.00039079186717342235	0.01219533193772765	0.012195551970777251	10
1	1	omp	Full Picture	256	4.0	4.0	0.016993599999999998	0.036884400000000005	0.0368812	0.00039079186717342235	0.01219533193772765	0.012195551970777251	10
0	2	omp	Full Picture	256	4.0	4.0	0.021521099999999998	0.029909699999999994	0.029906200000000004	0.0054951281723990145	0.014750667882335061	0.014751383882178499	10
1	2	omp	Full Picture	256	4.0	4.0	0.021521099999999998	0.029909699999999994	0.029906200000000004	0.0054951281723990145	0.014750667882335061	0.014751383882178499	10
0	4	omp	Full Picture	256	4.0	4.0	0.0317943	0.0337339	0.033730600000000006	0.005695579018995153	0.009596186219145373	0.009596627223375233	10
1	4	omp	Full Picture	256	4.0	4.0	0.0317943	0.0337339	0.033730600000000006	0.005695579018995153	0.009596186219145373	0.009596627223375233	10
0	8	omp	Full Picture	256	4.0	4.0	0.04680259999999999	0.032309	0.032305400000000005	0.012545802362737547	0.013487464412484818	0.013487103505967964	10
1	8	omp	Full Picture	256	4.0	4.0	0.04680259999999999	0.032309	0.032305400000000005	0.012545802362737547	0.013487464412484818	0.013487103505967964	10
0	16	omp	Full Picture	256	4.0	4.0	0.08266490000000001	0.0344711	0.0344675	0.011541248981815126	0.007054996544758897	0.007054919815158153	10
1	16	omp	Full Picture	256	4.0	4.0	0.08266490000000001	0.0344711	0.0344675	0.011541248981815126	0.007054996544758897	0.007054919815158153	10
0	32	omp	Full Picture	256	4.0	4.0	0.17876299999999995	0.032702999999999996	0.032699399999999997	0.0453507314819047	0.015150988504792537	0.015150821050898124	10
1	32	omp	Full Picture	256	4.0	4.0	0.17876299999999995	0.032702999999999996	0.032699399999999997	0.0453507314819047	0.015150988504792537	0.015150821050898124	10
